fuel,additive,component
0.689655172,0.6,65.08384315366676
0.6959247644848485,0.6,65.08384315366676
0.702194356969697,0.6,65.08384315366676
0.7084639494545455,0.6,65.08384315366676
0.714733541939394,0.6,65.08384315366676
0.7210031344242425,0.6,65.01915626500808
0.727272726909091,0.6,62.30166198981384
0.7335423193939394,0.6,59.57408981058289
0.7398119118787879,0.6,57.00811326566266
0.7460815043636364,0.6,54.670388855955764
0.7523510968484849,0.6,52.432710827718196
0.7586206893333334,0.6,50.40579790234595
0.7648902818181819,0.6,49.32463404313728
0.7711598743030303,0.6,48.81482957919481
0.7774294667878788,0.6,48.39195745063961
0.7836990592727273,0.6,48.065747202371455
0.7899686517575758,0.6,47.959244466230004
0.7962382442424243,0.6,47.877167808372846
0.8025078367272728,0.6,47.877167808372846
0.8087774292121213,0.6,47.877167808372846
0.8150470216969697,0.6,47.877167808372846
0.8213166141818182,0.6,47.981855840915046
0.8275862066666667,0.6,48.065747202371455
0.8338557991515152,0.6,48.30151596168895
0.8401253916363637,0.6,48.451342052163426
0.8463949841212122,0.6,48.58751590473483
0.8526645766060607,0.6,48.93108512428982
0.8589341690909091,0.6,49.123221836545625
0.8652037615757576,0.6,49.5078806043652
0.8714733540606061,0.6,49.895869440907916
0.8777429465454546,0.6,50.46248953012878
0.8840125390303031,0.6,50.99086709436469
0.8902821315151516,0.6,51.609840830243584
0.896551724,0.6,52.291150233828915
0.9028213164848485,0.6,53.05928013705042
0.909090908969697,0.6,53.968822766581
0.9153605014545455,0.6,54.881479075131224
0.921630093939394,0.6,55.851674087331006
0.9278996864242425,0.6,56.90317164025433
0.934169278909091,0.6,57.9962684570482
0.9404388713939394,0.6,59.13017162167925
0.9467084638787879,0.6,60.30386035927668
0.9529780563636364,0.6,61.5201862999571
0.9592476488484849,0.6,62.84730255138841
0.9655172413333334,0.6,64.23151842705629
0.9717868338181819,0.6,65.57086413243228
0.9780564263030304,0.6,66.94307567355686
0.9843260187878788,0.6,68.37814726176491
0.9905956112727273,0.6,69.93815691989718
0.9968652037575758,0.6,71.54130731222497
1.0031347962424242,0.6,73.08162969273216
1.0094043887272728,0.6,74.61349805004924
1.0156739812121214,0.6,76.16300038163594
1.0219435736969698,0.6,77.75111344184586
1.0282131661818181,0.6,79.48067903723857
1.0344827586666667,0.6,81.21564762106557
1.0407523511515153,0.6,82.71082971416313
1.0470219436363637,0.6,84.65686551326009
1.053291536121212,0.6,86.32113625890264
1.0595611286060607,0.6,88.3542181464918
1.0658307210909093,0.6,90.69250217440259
1.0721003135757576,0.6,93.13679246212953
1.078369906060606,0.6,95.62199863164486
1.0846394985454546,0.6,98.2918356322725
1.0909090910303032,0.6,101.11338681701955
1.0971786835151516,0.6,104.05268686999142
1.103448276,0.6,107.01067869406188
1.1097178684848485,0.6,109.9729105862466
1.1159874609696971,0.6,112.93574134221322
1.1222570534545455,0.6,115.86722410505516
1.128526645939394,0.6,118.75491265660884
1.1347962384242425,0.6,121.58981155328613
1.141065830909091,0.6,124.36533938569062
1.1473354233939395,0.6,127.07668730595935
1.1536050158787878,0.6,129.57422439123417
1.1598746083636364,0.6,132.06322757533354
1.166144200848485,0.6,134.62813040473387
1.1724137933333334,0.6,137.1192959182344
1.1786833858181818,0.6,139.53580152128544
1.1849529783030304,0.6,141.87229499203048
1.191222570787879,0.6,144.089019338091
1.1974921632727273,0.6,146.20733063722136
1.2037617557575757,0.6,148.23737131284645
1.2100313482424243,0.6,150.1755550536879
1.216300940727273,0.6,152.0308581640597
1.2225705332121213,0.6,153.8289330819157
1.2288401256969697,0.6,155.57977158024534
1.2351097181818183,0.6,157.37197664145205
1.2413793106666668,0.6,159.09054199115576
1.2476489031515152,0.6,160.73333859583275
1.2539184956363636,0.6,162.33427463321448
1.2601880881212122,0.6,163.89531648181026
1.2664576806060608,0.6,165.41834420844336
1.2727272730909092,0.6,166.92795980310203
1.2789968655757575,0.6,168.35739402429795
1.2852664580606061,0.6,169.21291811124726
1.2915360505454547,0.6,169.52605649745078
1.297805643030303,0.6,169.77667565417025
1.3040752355151515,0.6,169.88221626292557
1.310344828,0.6,169.88221626292557
0.689655172,0.604040404040404,65.08384315366676
0.6959247644848485,0.604040404040404,65.08384315366676
