fuel;additive;component
0.75;0.6;9.2
0.8;0.6;7.7
0.9;0.6;6.9
0.9;0.8;8.5
0.95;0.8;7.4
1;0.6;4.4
1;0.8;6.6
1.05;1;7.3
1.1;1;5.5
1.15;0.8;3.8
1.2;0.6;1.15
1.23;1;3.45
1.25;0.6;0.5
1.26;0.8;1.65
1.3;0.8;0.5
1.32;1;1.5
1.44;1;0.75
